# Emoji 13.0 emojies collected from Unicode.org or Emojipedia and mannualy added Japanese keyword.
# Releases under Public Domain or (at your option) CC0-1.0
#
#1F9D1 1F3FB 200D 1F384	🧑🏻‍🎄					さんた さんたくろーす くりすます						
#1F9D1 1F3FC 200D 1F384	🧑🏼‍🎄					さんた さんたくろーす くりすます						
#1F9D1 1F3FD 200D 1F384	🧑🏽‍🎄					さんた さんたくろーす くりすます						
#1F9D1 1F3FE 200D 1F384	🧑🏾‍🎄					さんた さんたくろーす くりすます						
#1F9D1 1F3FF 200D 1F384	🧑🏿‍🎄					さんた さんたくろーす くりすます						
1FAC2	🫂					はぐ ありがとう						
1F408 200D 2B1B	🐈‍⬛					ねこ くろねこ						
1F9AC	🦬					ばいそん						
1F9A3	🦣					まんもす						
1F9AB	🦫					びーばー						
1F43B 200D 2744 FE0F	🐻‍❄️					ほっきょくぐま くま						
1F9A4	🦤					どど とり						
1FAB6	🪶					はね						
1F9AD	🦭					あざらし						
1FAB2	🪲					かぶとむし かなぶん むし						
1FAB3	🪳					ごきぶり むし						
1FAB0	🪰					はえ むし						
1FAB1	🪱					みみず むし						
1FAB4	🪴					しょくぶつ						
1FAD0	🫐					ぶるーべりー						
1FAD2	🫒					おりーぶ						
1FAD1	🫑					ぴーまん						
1FAD3	🫓					ふらっとぶれっど ぱん						
1FAD4	🫔					たまれす なっとう						
1FAD5	🫕					ちーずふぉんでゅ ちーず ふぉんでゅ						
1FAD6	🫖					てぃーぽっと きゅうす						
1F9CB	🧋					たぴおか						
1FAA8	🪨					いし いわ						
1FAB5	🪵					き まるた						
1F6D6	🛖					こや						
1F6FB	🛻					くるま						
1F6FC	🛼					ろーらーすけーと						
1FA84	🪄					つえ まほうのつえ						
1FA85	🪅					ぴにゃーた						
1FA86	🪆					まとりょーしか						
1FAA1	🪡					はり						
1FAA2	🪢					むすびめ						
1FA74	🩴					さんだる						
1FA96	🪖					へるめっと						
1FA97	🪗					あこーでぃおん						
1FA98	🪘					たいこ 						
1FA99	🪙					こいん おかね 						
1FA83	🪃					ぶーめらん 						
1FA9A	🪚					のこぎり 						
1FA9B	🪛					どらいばー 						
1FA9D	🪝					ふっく 						
1FA9C	🪜					はしご 						
1F6D7	🛗					えれべーたー 						
1FA9E	🪞					かがみ 						
1FA9F	🪟					まど 						
1FAA0	🪠					らばーかっぷ ぷらんじゃー 						
1FAA4	🪤					ねずみとり わな 						
1FAA3	🪣					ばけつ 						
1FAA5	🪥					はぶらし はみがき 						
1FAA6	🪦					はか おはか 						
1FAA7	🪧					たてふだ こうぎ 						
26A7 FE0F	⚧️					とらんすじぇんだー せいべつ 						
1F3F3 FE0F 200D 26A7 FE0F	🏳️‍⚧️					とらんすじぇんだー せいべつ 						
