# Emoji 13.0 emojies collected from Unicode.org or Emojipedia and mannualy added Japanese keyword.
# Releases under Public Domain or (at your option) CC0-1.0
#
1F972	🥲					わらう わらい なみだ かんどう かお						
1F978	🥸					へんそう かお めがね しーくれっと						
1F90C	🤌					ゆび じぇすちゃー つまむ						
#1F90C 1F3FB	🤌🏻					ゆび じぇすちゃー つまむ						
#1F90C 1F3FC	🤌🏼					ゆび じぇすちゃー つまむ						
#1F90C 1F3FD	🤌🏽					ゆび じぇすちゃー つまむ						
#1F90C 1F3FE	🤌🏾					ゆび じぇすちゃー つまむ						
#1F90C 1F3FF	🤌🏿					ゆび じぇすちゃー つまむ						
1FAC0	🫀					かいぼう しんぞう ないぞう						
1FAC1	🫁					かいぼう はい ないぞう						
1F977	🥷					にんじゃ						
#1F977 1F3FB	🥷🏻					にんじゃ						
#1F977 1F3FC	🥷🏼					にんじゃ						
#1F977 1F3FD	🥷🏽					にんじゃ						
#1F977 1F3FE	🥷🏾					にんじゃ						
#1F977 1F3FF	🥷🏿					にんじゃ						
1F935 200D 2642 FE0F	🤵‍♂️					たきしーど しんろう かお						
#1F935 1F3FB 200D 2642 FE0F	🤵🏻‍♂️					たきしーど しんろう かお						
#1F935 1F3FC 200D 2642 FE0F	🤵🏼‍♂️					たきしーど しんろう かお						
#1F935 1F3FD 200D 2642 FE0F	🤵🏽‍♂️					たきしーど しんろう かお						
#1F935 1F3FE 200D 2642 FE0F	🤵🏾‍♂️					たきしーど しんろう かお						
#1F935 1F3FF 200D 2642 FE0F	🤵🏿‍♂️					たきしーど しんろう かお						
1F935 200D 2640 FE0F	🤵‍♀️					たきしーど かお						
#1F935 1F3FB 200D 2640 FE0F	🤵🏻‍♀️					たきしーど かお						
#1F935 1F3FC 200D 2640 FE0F	🤵🏼‍♀️					たきしーど かお						
#1F935 1F3FD 200D 2640 FE0F	🤵🏽‍♀️					たきしーど かお						
#1F935 1F3FE 200D 2640 FE0F	🤵🏾‍♀️					たきしーど かお						
#1F935 1F3FF 200D 2640 FE0F	🤵🏿‍♀️					たきしーど かお						
1F470 200D 2642 FE0F	👰‍♂️					べーる かお						
#1F470 1F3FB 200D 2642 FE0F	👰🏻‍♂️					べーる かお						
#1F470 1F3FC 200D 2642 FE0F	👰🏼‍♂️					べーる かお						
#1F470 1F3FD 200D 2642 FE0F	👰🏽‍♂️					べーる かお						
#1F470 1F3FE 200D 2642 FE0F	👰🏾‍♂️					べーる かお						
#1F470 1F3FF 200D 2642 FE0F	👰🏿‍♂️					べーる かお						
1F470 200D 2640 FE0F	👰‍♀️					はなよめ べーる かお						
#1F470 1F3FB 200D 2640 FE0F	👰🏻‍♀️					はなよめ べーる かお						
#1F470 1F3FC 200D 2640 FE0F	👰🏼‍♀️					はなよめ べーる かお						
#1F470 1F3FD 200D 2640 FE0F	👰🏽‍♀️					はなよめ べーる かお						
#1F470 1F3FE 200D 2640 FE0F	👰🏾‍♀️					はなよめ べーる かお						
#1F470 1F3FF 200D 2640 FE0F	👰🏿‍♀️					はなよめ べーる かお						
1F469 200D 1F37C	👩‍🍼					あかちゃん						
#1F469 1F3FB 200D 1F37C	👩🏻‍🍼					あかちゃん						
#1F469 1F3FC 200D 1F37C	👩🏼‍🍼					あかちゃん						
#1F469 1F3FD 200D 1F37C	👩🏽‍🍼					あかちゃん						
#1F469 1F3FE 200D 1F37C	👩🏾‍🍼					あかちゃん						
#1F469 1F3FF 200D 1F37C	👩🏿‍🍼					あかちゃん						
1F468 200D 1F37C	👨‍🍼					あかちゃん						
#1F468 1F3FB 200D 1F37C	👨🏻‍🍼					あかちゃん						
#1F468 1F3FC 200D 1F37C	👨🏼‍🍼					あかちゃん						
#1F468 1F3FD 200D 1F37C	👨🏽‍🍼					あかちゃん						
#1F468 1F3FE 200D 1F37C	👨🏾‍🍼					あかちゃん						
#1F468 1F3FF 200D 1F37C	👨🏿‍🍼					あかちゃん						
1F9D1 200D 1F37C	🧑‍🍼					あかちゃん						
#1F9D1 1F3FB 200D 1F37C	🧑🏻‍🍼					あかちゃん						
#1F9D1 1F3FC 200D 1F37C	🧑🏼‍🍼					あかちゃん						
#1F9D1 1F3FD 200D 1F37C	🧑🏽‍🍼					あかちゃん						
#1F9D1 1F3FE 200D 1F37C	🧑🏾‍🍼					あかちゃん						
#1F9D1 1F3FF 200D 1F37C	🧑🏿‍🍼					あかちゃん						
1F9D1 200D 1F384	🧑‍🎄					さんた さんたくろーす くりすます						
